ANOMALY DETECTED: {'src_ip': '199.232.17.91', 'dst_ip': '192.168.0.104', 'protocol': 'TCP', 'src_p': 443, 'dst_p': 60261, 'timestamp': '2025-05-11 17:16:21.281558'}
ANOMALY DETECTED: {'src_ip': '192.168.0.104', 'dst_ip': '34.120.52.64', 'protocol': 'TCP', 'src_p': 60262, 'dst_p': 443, 'timestamp': '2025-05-11 17:16:23.453254'}
ANOMALY DETECTED: {'src_ip': '192.168.0.104', 'dst_ip': '34.120.52.64', 'protocol': 'TCP', 'src_p': 60262, 'dst_p': 443, 'timestamp': '2025-05-11 17:16:23.453380'}
ANOMALY DETECTED: {'src_ip': '34.120.52.64', 'dst_ip': '192.168.0.104', 'protocol': 'TCP', 'src_p': 443, 'dst_p': 59708, 'timestamp': '2025-05-11 17:16:26.783288'}
THREAT DETECTED: {'src_ip': '192.168.0.104', 'dst_ip': '34.120.52.64', 'protocol': 'TCP', 'src_p': 59708, 'dst_p': 443, 'timestamp': '2025-05-11 17:16:26.783743'}
ANOMALY DETECTED: {'src_ip': '192.168.0.104', 'dst_ip': '35.186.227.140', 'protocol': 'TCP', 'src_p': 60263, 'dst_p': 443, 'timestamp': '2025-05-11 17:16:27.655224'}
ANOMALY DETECTED: {'src_ip': '192.168.0.104', 'dst_ip': '35.186.227.140', 'protocol': 'TCP', 'src_p': 60263, 'dst_p': 443, 'timestamp': '2025-05-11 17:16:27.655393'}
ANOMALY DETECTED: {'src_ip': '192.168.0.104', 'dst_ip': '104.18.1.181', 'protocol': 'TCP', 'src_p': 59101, 'dst_p': 443, 'timestamp': '2025-05-11 17:16:37.665790'}
ANOMALY DETECTED: {'src_ip': '192.168.0.100', 'dst_ip': '224.0.0.251', 'protocol': 'UDP', 'src_p': 49001, 'dst_p': 5353, 'timestamp': '2025-05-11 17:16:38.608997'}
ANOMALY DETECTED: {'src_ip': '192.168.0.104', 'dst_ip': '34.107.243.93', 'protocol': 'TCP', 'src_p': 59872, 'dst_p': 443, 'timestamp': '2025-05-11 17:16:41.070769'}
ANOMALY DETECTED: {'src_ip': '172.67.68.36', 'dst_ip': '192.168.0.104', 'protocol': 'TCP', 'src_p': 443, 'dst_p': 60234, 'timestamp': '2025-05-11 17:16:44.617982'}
THREAT DETECTED: {'src_ip': '192.168.0.104', 'dst_ip': '172.67.68.36', 'protocol': 'TCP', 'src_p': 60234, 'dst_p': 443, 'timestamp': '2025-05-11 17:16:44.618417'}
ANOMALY DETECTED: {'src_ip': '192.168.0.104', 'dst_ip': '13.69.68.64', 'protocol': 'TCP', 'src_p': 60264, 'dst_p': 443, 'timestamp': '2025-05-11 17:16:47.887050'}
